CONTENT_ID,source,title,events_count,content_duration_sec,avg_progress_ratio
688726,Other,سر الصلصة الهولندية,1,634,100.0
688719,Other,كيف نستخدم ألف التفريق؟,1,167,100.0
688188,AJA,التقاعس العربي والدمار في لبنان,1,2957,100.0
686284,AJA,توقف بث تلفزيون لبنان.. لماذا؟,1,1485,100.0
685810,AJA,حماس وصفقة القرن,1,2917,100.0
685769,AJA,نشاط المخابرات التونسية,1,3067,100.0
683876,AJA,قصة تأسيس مجلة العربي,1,1333,100.0
683855,AJA,حفصة الركونية.. شاعرة الأندلس العاشقة,1,1428,100.0
683850,AJA,عائشة القرطبية.. كاتبة المصاحف,1,1207,100.0
683746,AJA,المكسيك.. روح أميركا اللاتينية,1,1454,100.0
683681,AJA,دمياط.. مدينة العمل والسياحة,1,1405,100.0
683672,AJA,العقبة.. ميناء مجنون ومقصورة ملكية,1,1404,100.0
683669,AJA,وراء الشمس - الجزء 2,1,2950,100.0
683663,AJA,"سميح القاسم.. ""قيثارة فلسطين""",1,1270,100.0
683629,AJA,واقع البنية التحتية في قطاع غزة,1,1889,100.0
683608,AJA,الجولان.. سرقة أرض وتزوير تاريخ,3,1820,100.0
683606,AJA,الخيارات الفلسطينية - الجزء (2),1,1700,100.0
683592,AJA,محمد عبده.. ملك متوّج بعمامته,1,1493,100.0
683274,AJA,دور وسيلة بورقيبة بالسياسة التونسية,2,3051,100.0
683149,AJA,حسن الكرمي.. عاشق القضية والأدب,1,2784,100.0
683138,AJA,علي فرزات.. الفن الساخر في وجه القمع,1,2872,100.0
678379,AJA,الجامعة العربية وملف العراق بعد الغزو,1,2889,100.0
678372,AJA,برنامج أميركي للتجسس على البنوك,1,2823,100.0
678369,AJA,أبحاث الاستنساخ بين المختبر والاختبار الأخلاقي,1,4087,100.0
678365,AJA,تداعيات صياغة دستور عراقي جديد,1,2903,100.0
678357,AJA,الملف النووي الإيراني ومجلس الأمن,1,2843,100.0
678348,AJA,ربع قرن على مجلس التعاون,2,2859,100.0
678343,AJA,أميركا تلاحق الإرهاب سريا في أوروبا,1,2800,100.0
678334,AJA,الخلاف الفلسطيني والخطر الإسرائيلي,1,2865,100.0
678331,AJA,الانتخابات التشريعية الفلسطينية وإمكانية التأجيل,2,2854,100.0
