source,SERIES_ID,series_title,unique_viewers,total_views
AJA,2134,تحت المجهر,189,465
AJD,3261,من الشعر إلى الموسيقى,184,428
AJA,2160,أرشيفهم وتاريخنا,182,443
Atheer,2282,بودكاست سكن,180,492
LIVE,3047,أولاد المختار,179,848
AJA,2174,لقاء اليوم,178,455
Atheer,2849,بودكاست مع تميم,166,368
Originals,3395,تحت الركام,163,244
Atheer,2286,بودكاست قراء,162,378
AJA,2175,خارج النص,159,309
AJA,2165,سيناريوهات,155,229
AJA,2472,الإسلاميون,147,366
AJA,2613,أصحاب البلاد,138,237
Atheer,2272,بودكاست أسئلة الحدث,137,263
AJA,2324,مع هيكل - الحلقات الحوارية,136,378
Atheer,2277,بودكاست وسط البلد,135,228
AJA,2318,وجهة نظر,134,213
AJA,2323,شاهد على الثورة,132,273
AJA,2322,أصدقاء العرب,130,187
Originals,2925,رجل الصحراء,129,191
AJA,2390,في ضيافة البندقية,127,226
Originals,2784,وجهات نظر,126,196
Originals,2714,حروب بديلة,120,158
Other,2842,القدس.. درب الآلام,113,202
AJA,2321,كواليس,111,203
Atheer,3116,أصوات الشام,109,172
AJA,2294,الكتاب خير جليس في الزمان,107,192
Other,2704,الإسبتالية,107,244
Other,2717,ذات مرة,107,196
AJA,2478,اللوبي,106,146
Atheer,2535,بودكاست كواليس,106,256
Atheer,3055,النبي القائد,105,210
AJA,2151,نقطة ساخنة,103,283
Other,2352,مع تميم,103,209
Atheer,3240,وسيط,97,146
Atheer,3004,بيان,96,225
AJA,2162,الملف,91,150
Atheer,2916,بودكاست نظر,90,200
Other,2705,أندلسيات,89,170
AJA,2173,بكسر التاء,86,143
Other,2716,الوتر الحساس,86,166
AJA,2798,المنشقون,83,102
AJA,2796,الطريق 66,82,119
AJA,2188,في العمق,80,134
AJA,2646,حرب لبنان,80,366
AJD,2554,الختيار,77,165
AJA,2397,أكثر من رأي,76,217
AJA,2359,يحكى أن,74,128
AJA,2136,للنساء فقط,73,353
AJA,2368,مناضلون أم إرهابيون,72,130
Originals,2280,النبي الإنسان,70,133
Originals,2406,ضحايا وأبطال,70,106
AJA,2546,حكاية ثورة,67,331
Other,2961,مستطيل,67,115
AJA,2143,فلسطين تحت المجهر,64,193
AJD,2363,كاميرا ومدينة,62,96
AJD,2375,شخصيات مقدسية,62,78
AJA,2366,غزة تقاوم.. غزة تنتصر,60,103
AJD,2155,الحروب الصليبية,60,175
Other,2316,شنغين فيزيا,59,132
Other,2709,مطبات منطقية,59,101
AJA,3257,مراسلون أجانب,56,282
AJA,2330,شيء من التاريخ,55,110
Originals,2827,ميراث,55,132
AJA,2647,كتاب قرأته/كتاب ألفته,53,71
AJD,2234,أفلام مستقلة,53,64
AJA,2327,الإقتصاد والناس,52,84
AJD,2639,ذاكرة السينما,52,108
Atheer,2281,بودكاست ما بعد النفط,51,75
AJD,2182,حكايات العابرين,50,91
Other,2706,ع الكنبة,50,88
AJA,2195,شاهد عيان,45,63
AJA,2402,مقابلة خاصة,45,64
Other,2851,الحاصل شنو,44,65
AJD,2361,ناصر,43,145
AJA,2216,مراسلو الجزيرة,42,78
Other,2186,سؤال مشروع,41,74
AJD,3037,مسلمو العصر الفيكتوري,40,88
Atheer,3038,ديوان أثير,39,117
LIVE,3049,عمران 5,38,187
AJD,2193,السادات,37,57
AJA,2171,في الواجهة,35,42
AJA,2551,أيلول الأحمر,35,91
AJD,3052,بصمات,35,59
